det,offset_s,bandpower
L1,400.0,9.943098557420186e-40
L1,404.0,2.028152917944443e-39
L1,408.0,9.119671474844209e-39
L1,412.0,5.0306192944593306e-39
L1,416.0,5.267123691679221e-39
L1,420.0,2.2461029409862057e-39
L1,424.0,2.7533717789008205e-39
L1,428.0,5.57873278803438e-39
L1,432.0,2.6595857975824976e-39
L1,436.0,2.9195125313400078e-39
L1,440.0,2.8365651080626472e-39
L1,444.0,2.655495670626469e-39
L1,448.0,2.589196528898772e-39
L1,452.0,6.693522662606832e-39
L1,456.0,1.1914918035651836e-39
L1,460.0,1.5596301306084406e-39
L1,464.0,2.049105339996111e-39
L1,468.0,3.241984963747486e-39
L1,472.0,6.4211385514340185e-40
L1,476.0,9.221805462077874e-39
L1,480.0,6.663258259678522e-39
L1,484.0,3.779506735078749e-39
L1,488.0,2.714279339218906e-39
L1,492.0,2.9031730458282954e-39
L1,496.0,4.170229549028034e-39
L1,500.0,1.2119367948191888e-39
L1,504.0,1.939971762043298e-39
L1,508.0,3.447304083537577e-39
L1,512.0,2.376932846766568e-39
L1,516.0,2.8664436731021556e-39
L1,520.0,2.4929253614502628e-39
L1,524.0,4.606231963535412e-39
L1,528.0,1.9904572487225883e-39
L1,532.0,3.583340734521195e-39
L1,536.0,6.3328072900878354e-40
L1,540.0,3.0326832247321864e-39
L1,544.0,3.6205910847398385e-39
L1,548.0,7.694307244704435e-39
L1,552.0,2.8669015416193312e-39
L1,556.0,2.7625324548799466e-39
L1,560.0,5.050098601033847e-39
L1,564.0,2.8818158505162516e-39
L1,568.0,4.0558325291711464e-39
L1,572.0,1.666970298973451e-39
L1,576.0,2.0856393556146445e-39
L1,580.0,2.7924815632594476e-39
L1,584.0,2.341647765522239e-39
L1,588.0,3.2121987286323084e-39
L1,592.0,5.693476780022839e-39
L1,596.0,3.4817031188678e-39
L1,600.0,1.4779646675619544e-39
L1,604.0,1.833630038461768e-39
L1,608.0,5.5355635960470646e-39
L1,612.0,4.114435432341333e-39
L1,616.0,1.570682723186081e-39
L1,620.0,1.7013268630898528e-39
L1,624.0,4.209624745348876e-39
L1,628.0,5.3394466658639e-39
L1,632.0,7.530747592935319e-39
L1,636.0,3.071766529752313e-39
